,Date,country,code,project,page_id,page_title,item_id,views,population
21243,2018-07-10,Japan,JP,ja.wikipedia,1282290,水素,Q556,602,126913433
29291,2018-07-10,Japan,JP,ja.wikipedia,14370,太陽光発電,Q192127,517,126913433
33515,2018-07-10,Japan,JP,ja.wikipedia,2700,自動車,Q1420,623,126913433
43766,2018-07-10,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,572,126913433
50569,2018-07-10,Japan,JP,ja.wikipedia,22471,ガソリン,Q39558,525,126913433
53154,2018-07-10,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,522,126913433
54798,2018-07-10,Japan,JP,ja.wikipedia,109359,外来種,Q183368,491,126913433
56996,2018-07-10,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,936,126913433
59639,2018-07-10,Japan,JP,ja.wikipedia,7516,米,Q5090,845,126913433
61754,2018-07-10,Japan,JP,ja.wikipedia,1540503,石油,Q22656,565,126913433
65256,2018-07-10,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,1067,126913433
66620,2018-07-10,Japan,JP,ja.wikipedia,52358,洪水,Q8068,1023,126913433
68290,2018-07-10,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,701,126913433
72513,2018-07-10,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1428,126913433
72552,2018-07-10,Japan,JP,ja.wikipedia,87122,自然災害,Q8065,807,126913433
75529,2018-07-10,Japan,JP,ja.wikipedia,14292,災害,Q3839081,816,126913433
75537,2018-07-10,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,621,126913433
81564,2018-07-10,Taiwan,TW,zh.wikipedia,19804,熱帶氣旋,Q8092,1371,23659305
13762,2018-07-11,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,595,126913433
19755,2018-07-11,Japan,JP,ja.wikipedia,96712,異常気象,Q1277161,707,126913433
20958,2018-07-11,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,665,126913433
20964,2018-07-11,Japan,JP,ja.wikipedia,1282290,水素,Q556,612,126913433
28919,2018-07-11,Japan,JP,ja.wikipedia,14370,太陽光発電,Q192127,495,126913433
33151,2018-07-11,Japan,JP,ja.wikipedia,2700,自動車,Q1420,523,126913433
43216,2018-07-11,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,498,126913433
52524,2018-07-11,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,474,126913433
54153,2018-07-11,Japan,JP,ja.wikipedia,109359,外来種,Q183368,513,126913433
56310,2018-07-11,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,866,126913433
58870,2018-07-11,Japan,JP,ja.wikipedia,7516,米,Q5090,811,126913433
60519,2018-07-11,Japan,JP,ja.wikipedia,1476885,グリーンピース_(NGO),Q81307,523,126913433
60973,2018-07-11,Japan,JP,ja.wikipedia,1540503,石油,Q22656,461,126913433
63977,2018-07-11,Japan,JP,ja.wikipedia,68211,竹,Q670887,475,126913433
64392,2018-07-11,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,804,126913433
65703,2018-07-11,Japan,JP,ja.wikipedia,52358,洪水,Q8068,631,126913433
67363,2018-07-11,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,706,126913433
71577,2018-07-11,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1414,126913433
71616,2018-07-11,Japan,JP,ja.wikipedia,81446,エルニーニョ・南方振動,Q14524818,578,126913433
71618,2018-07-11,Japan,JP,ja.wikipedia,87122,自然災害,Q8065,750,126913433
74553,2018-07-11,Japan,JP,ja.wikipedia,14292,災害,Q3839081,835,126913433
74562,2018-07-11,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,451,126913433
74980,2018-07-11,Japan,JP,ja.wikipedia,15931,水力発電,Q80638,968,126913433
80582,2018-07-11,Taiwan,TW,zh.wikipedia,19804,熱帶氣旋,Q8092,577,23659305
13377,2018-07-12,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,666,126913433
14945,2018-07-12,Japan,JP,ja.wikipedia,22929,コンクリート,Q22657,478,126913433
20311,2018-07-12,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,703,126913433
20317,2018-07-12,Japan,JP,ja.wikipedia,1282290,水素,Q556,582,126913433
28082,2018-07-12,Japan,JP,ja.wikipedia,14370,太陽光発電,Q192127,567,126913433
32154,2018-07-12,Japan,JP,ja.wikipedia,2700,自動車,Q1420,621,126913433
42020,2018-07-12,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,557,126913433
49000,2018-07-12,Japan,JP,ja.wikipedia,39142,石炭,Q24489,476,126913433
51050,2018-07-12,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,485,126913433
54686,2018-07-12,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,860,126913433
57195,2018-07-12,Japan,JP,ja.wikipedia,7516,米,Q5090,799,126913433
62465,2018-07-12,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,781,126913433
63730,2018-07-12,Japan,JP,ja.wikipedia,52358,洪水,Q8068,613,126913433
65325,2018-07-12,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,541,126913433
69329,2018-07-12,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1502,126913433
69365,2018-07-12,Japan,JP,ja.wikipedia,81446,エルニーニョ・南方振動,Q14524818,537,126913433
69367,2018-07-12,Japan,JP,ja.wikipedia,87122,自然災害,Q8065,776,126913433
72142,2018-07-12,Japan,JP,ja.wikipedia,14292,災害,Q3839081,755,126913433
72545,2018-07-12,Japan,JP,ja.wikipedia,15931,水力発電,Q80638,533,126913433
12789,2018-07-13,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,668,126913433
18307,2018-07-13,Japan,JP,ja.wikipedia,96712,異常気象,Q1277161,505,126913433
19401,2018-07-13,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,752,126913433
19407,2018-07-13,Japan,JP,ja.wikipedia,1282290,水素,Q556,531,126913433
40088,2018-07-13,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,577,126913433
48702,2018-07-13,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,472,126913433
52172,2018-07-13,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,644,126913433
54598,2018-07-13,Japan,JP,ja.wikipedia,7516,米,Q5090,777,126913433
59684,2018-07-13,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,605,126913433
62429,2018-07-13,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,835,126913433
66314,2018-07-13,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1284,126913433
66347,2018-07-13,Japan,JP,ja.wikipedia,87122,自然災害,Q8065,488,126913433
69004,2018-07-13,Japan,JP,ja.wikipedia,14292,災害,Q3839081,577,126913433
13089,2018-07-14,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,523,126913433
14697,2018-07-14,Japan,JP,ja.wikipedia,29380,氷河時代,Q49367,455,126913433
63928,2018-07-14,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,1213,126913433
67942,2018-07-14,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,926,126913433
73517,2018-07-14,Taiwan,TW,zh.wikipedia,32775,明日之後,Q14320,983,23659305
9365,2018-07-15,Japan,JP,ja.wikipedia,7141,チーズ,Q10943,3046,126913433
13216,2018-07-15,Japan,JP,ja.wikipedia,18498,ウシ,Q830,491,126913433
15566,2018-07-15,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,1316,126913433
17481,2018-07-15,Japan,JP,ja.wikipedia,29380,氷河時代,Q49367,614,126913433
37254,2018-07-15,Japan,JP,ja.wikipedia,2700,自動車,Q1420,497,126913433
51415,2018-07-15,Japan,JP,ja.wikipedia,109986,ヒートアイランド,Q215712,522,126913433
57161,2018-07-15,Japan,JP,ja.wikipedia,130424,デイ・アフター・トゥモロー,Q14320,853,126913433
63284,2018-07-15,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,502,126913433
75729,2018-07-15,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,1040,126913433
80513,2018-07-15,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1223,126913433
83802,2018-07-15,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,507,126913433
87179,2018-07-15,Taiwan,TW,zh.wikipedia,32775,明日之後,Q14320,988,23659305
8934,2018-07-16,Japan,JP,ja.wikipedia,7141,チーズ,Q10943,530,126913433
14811,2018-07-16,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,676,126913433
16569,2018-07-16,Japan,JP,ja.wikipedia,29380,氷河時代,Q49367,679,126913433
22328,2018-07-16,Japan,JP,ja.wikipedia,1282290,水素,Q556,522,126913433
35364,2018-07-16,Japan,JP,ja.wikipedia,2700,自動車,Q1420,479,126913433
42568,2018-07-16,Japan,JP,ja.wikipedia,58075,京都議定書,Q47359,473,126913433
46142,2018-07-16,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,473,126913433
48782,2018-07-16,Japan,JP,ja.wikipedia,109986,ヒートアイランド,Q215712,634,126913433
57766,2018-07-16,Japan,JP,ja.wikipedia,109359,外来種,Q183368,460,126913433
60080,2018-07-16,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,583,126913433
60521,2018-07-16,Japan,JP,ja.wikipedia,1094885,熱波,Q215864,515,126913433
68785,2018-07-16,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,514,126913433
71968,2018-07-16,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,1578,126913433
76519,2018-07-16,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1634,126913433
79633,2018-07-16,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,528,126913433
80068,2018-07-16,Japan,JP,ja.wikipedia,15931,ダム水路式発電所,Q80638,659,126913433
85041,2018-07-16,Japan,JP,ja.wikipedia,3342027,パリ協定_(気候変動),Q21707860,461,126913433
13782,2018-07-17,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,514,126913433
15423,2018-07-17,Japan,JP,ja.wikipedia,29380,氷河時代,Q49367,696,126913433
18819,2018-07-17,Japan,JP,ja.wikipedia,60022,熱帯,Q42530,463,126913433
19625,2018-07-17,Japan,JP,ja.wikipedia,96712,異常気象,Q1277161,505,126913433
20863,2018-07-17,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,999,126913433
20868,2018-07-17,Japan,JP,ja.wikipedia,1282290,水素,Q556,674,126913433
33080,2018-07-17,Japan,JP,ja.wikipedia,2700,自動車,Q1420,588,126913433
37747,2018-07-17,Japan,JP,ja.wikipedia,4395,南極大陸,Q51,451,126913433
39803,2018-07-17,Japan,JP,ja.wikipedia,58075,京都議定書,Q47359,468,126913433
43143,2018-07-17,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,527,126913433
45616,2018-07-17,Japan,JP,ja.wikipedia,109986,ヒートアイランド,Q215712,804,126913433
50768,2018-07-17,Japan,JP,ja.wikipedia,372271,再生可能エネルギー,Q12705,619,126913433
52483,2018-07-17,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,640,126913433
54120,2018-07-17,Japan,JP,ja.wikipedia,109359,外来種,Q183368,507,126913433
56246,2018-07-17,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,772,126913433
56657,2018-07-17,Japan,JP,ja.wikipedia,1094885,熱波,Q215864,455,126913433
58861,2018-07-17,Japan,JP,ja.wikipedia,7516,米,Q5090,766,126913433
64359,2018-07-17,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,720,126913433
67316,2018-07-17,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,1675,126913433
67319,2018-07-17,Japan,JP,ja.wikipedia,173414,温室効果ガス,Q167336,549,126913433
71536,2018-07-17,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,2135,126913433
74429,2018-07-17,Japan,JP,ja.wikipedia,14292,災害,Q3839081,615,126913433
74437,2018-07-17,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,542,126913433
79499,2018-07-17,Japan,JP,ja.wikipedia,3342027,パリ協定_(気候変動),Q21707860,525,126913433
13499,2018-07-18,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,590,126913433
13930,2018-07-18,Japan,JP,ja.wikipedia,821183,太平洋高気圧,Q2853184,456,126913433
15062,2018-07-18,Japan,JP,ja.wikipedia,22929,コンクリート,Q22657,482,126913433
15078,2018-07-18,Japan,JP,ja.wikipedia,29380,氷河時代,Q49367,685,126913433
17076,2018-07-18,Japan,JP,ja.wikipedia,22912,セメント,Q45190,527,126913433
18386,2018-07-18,Japan,JP,ja.wikipedia,60022,熱帯,Q42530,539,126913433
19230,2018-07-18,Japan,JP,ja.wikipedia,96712,異常気象,Q1277161,654,126913433
20434,2018-07-18,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,731,126913433
20441,2018-07-18,Japan,JP,ja.wikipedia,1282290,水素,Q556,579,126913433
28267,2018-07-18,Japan,JP,ja.wikipedia,14370,太陽光発電,Q192127,537,126913433
29864,2018-07-18,Japan,JP,ja.wikipedia,1726140,地球温暖化の原因,Q4383471,573,126913433
32354,2018-07-18,Japan,JP,ja.wikipedia,2700,自動車,Q1420,634,126913433
38966,2018-07-18,Japan,JP,ja.wikipedia,58075,京都議定書,Q47359,541,126913433
42196,2018-07-18,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,630,126913433
44550,2018-07-18,Japan,JP,ja.wikipedia,109986,ヒートアイランド,Q215712,1237,126913433
48679,2018-07-18,Japan,JP,ja.wikipedia,22471,ガソリン,Q39558,458,126913433
